,logpop,loginv,pop,family.name,area,inv,language
60,9.012011377,3.044522438,8200,Goilalan,Papunesia,20,Kunimaipa
61,8.853808275,3.091042453,7000,Nuclear Trans New Guinea,Papunesia,21,Selepet
63,5.049856007,3.610917913,155,Eskimo-Aleut,North America,36,Aleut
67,3.663561646,3.761200116,38,Athabaskan-Eyak-Tlingit,North America,42,Hupa
69,3.218875825,3.931825633,24,NA,NA,50,Haida
70,2.079441542,3.63758616,7,Salishan,North America,37,Squamish
73,5.545177444,4.025351691,255,NA,NA,55,Kwakiutl
74,11.44797086,3.33220451,93710,NA,NA,27,Ojibwa
75,2.079441542,3.688879454,7,NA,NA,39,Delaware
76,0.693147181,3.401197382,1,Caddoan,North America,29,Wichita
77,5.673323267,3.610917913,290,NA,NA,36,Dakota
78,4.615120517,3.33220451,100,Iroquoian,North America,27,Seneca
79,5.262690189,3.135494216,192,Iroquoian,North America,22,Oneida
80,2.833213344,4.17438727,16,,North America,64,Yuchi
81,5.141663557,3.091042453,170,Muskogean,North America,21,Alabama
82,3.496507561,3.258096538,32,,North America,25,Tunica
83,4.615120517,3.610917913,100,Sahaptian,North America,36,Nez Perce
88,12.51723074,3.433987204,273000,Mayan,North America,30,Tzeltal
90,2.564949357,3.737669618,12,,North America,41,Karok
93,9.151757415,4.007333185,9430,,North America,54,Zuni
94,10.20732591,3.737669618,27100,NA,NA,41,Tiwa
95,7.313886832,4.060443011,1500,NA,NA,57,Tewa
97,8.821879863,3.912023005,6780,Uto-Aztecan,North America,49,Hopi
105,1.791759469,3.258096538,5,,South America,25,Itonama
106,15.86121704,3.63758616,7734620,NA,NA,37,Quechua
107,14.34731518,3.761200116,1702000,NA,NA,42,Aymara
110,9.43356392,3.401197382,12500,Arawakan,South America,29,Wapishana
117,10.76217036,3.663561646,47200,Ticuna-Yuri,South America,38,Ticuna
118,8.903679333,3.36729583,7358,NA,NA,28,Carib
119,5.272999559,3.663561646,194,Huitotoan,South America,38,Ocaina
121,15.63317832,3.610917913,6157480,NA,NA,36,Guarani
122,6.255750042,3.135494216,520,Pano-Tacanan,South America,22,Amahuaca
126,17.12510791,3.828641396,27374100,Afro-Asiatic,Africa,45,Hausa
129,16.61257242,3.970291914,16396400,Afro-Asiatic,Africa,52,Somali
131,13.04332233,3.891820298,462000,Afro-Asiatic,Africa,48,Iraqw
133,16.89840724,4.094344562,21821520,Afro-Asiatic,Africa,59,Amharic
136,13.0696185,4.025351691,474310,Afro-Asiatic,Eurasia,55,Maltese
139,14.01436224,3.912023005,1220000,NA,NA,49,Kpelle
140,15.47575584,3.713572067,5260600,Atlantic-Congo,Africa,40,Wolof
141,13.96393143,3.63758616,1160000,Atlantic-Congo,Africa,37,Dagbani
