"duration","f0slope","f0peak","intensity","f1","stress","f0mean"
0.071,"-125","86","64","1095","n",83
0.197,"-92.7835051546391","109","77","567","y",102
0.084,"-386.666666666667","113","70","287","n",95
0.099,"0","78","57","565","n",78
0.187,"-136.904761904762","115","78","501","n",99
0.129,"-99.9999999999999","102","76","512","y",101
0.081,"-273.972602739726","105","70","586","n",94
0.134,"-59.7014925373135","106","76","424","n",105
0.116,"319.587628865979","144","74","470","y",126
0.197,"-268.571428571429","126","64","688","n",98
0.142,"99.9999999999999","95","69","675","y",93
0.087,"-389.61038961039","110","65","454","n",92
0.192,"-174.418604651163","122","77","462","n",101
0.106,"-35.0877192982456","99","74","346","y",99
0.086,"-210.526315789474","102","70","474","n",93
0.154,"-62.5","108","76","362","n",107
0.213,"50.561797752809","117","74","630","y",114
0.171,"-76.9230769230769","106","75","538","n",100
0.157,"-92.1985815602837","103","74","573","n",94
0.111,"32.608695652174","101","72","514","y",99
0.122,"-154.545454545454","104","69","496","n",95
0.151,"-10.2040816326531","99","74","251","n",99
0.09,"-98.7654320987655","105","73","245","y",101
0.088,"-207.792207792208","110","72","535","n",99
0.044,"-641.02564102564","121","71","282","y",105
0.13,"-196.581196581197","115","73","397","n",99
0.111,"-135.416666666667","116","74","400","y",110
0.174,"-95.5882352941177","105","68","404","n",100
0.093,"-181.818181818182","93","66","800","n",89
0.099,"-166.666666666667","103","73","409","n",95
0.085,"-166.666666666667","106","69","389","y",99
0.066,"-250","90","64","794","n",83
0.063,"-283.018867924528","97","64","732","n",89
0.162,"225.490196078431","140","76","378","y",130
0.083,"-300","130","72","326","n",120
0.157,"-303.571428571429","132","78","400","y",124
0.131,"-161.016949152542","102","71","338","n",93
0.078,"-133.333333333333","80","59","805","n",79
0.157,"142.857142857143","108","76","389","y",104
0.08,"-112.676056338028","115","74","328","n",110
0.236,"-56.6037735849057","111","75","493","n",104
0.16,"312.5","176","76","677","y",148
0.082,"-480","106","71","640","n",90
0.156,"-128.571428571429","121","78","384","n",110
0.168,"119.047619047619","122","78","517","y",119
0.112,"322.580645161291","149","79","631","n",146
0.162,"-104.895104895105","112","75","566","n",104
0.106,"-230.769230769231","129","77","420","y",125
0.109,"-185.185185185185","109","73","512","n",103
0.078,"-157.142857142857","99","70","979","n",92
0.156,"-107.142857142857","105","73","320","n",97
0.161,"-111.111111111111","102","72","512","y",97
0.046,"-378.378378378378","96","66","380","n",86
0.115,"192.982456140351","136","83","463","y",131
0.089,"-222.222222222222","131","80","455","n",125
0.296,"97.7443609022556","142","80","528","y",128
0.085,"-392.156862745098","139","79","286","n",123
0.18,"126.582278481013","130","76","300","y",125
0.109,"-303.030303030303","118","72","389","n",100
0.094,"-157.142857142857","96","66","523","n",89
0.133,"157.142857142857","126","78","290","y",119
0.292,"-157.635467980296","109","71","461","n",92
0.12,"-261.904761904762","138","78","276","y",130
0.092,"-333.333333333333","116","74","401","n",104
0.054,"-272.727272727272","103","68","299","n",95
0.193,"-92.485549132948","107","76","521","n",102
0.109,"285.714285714286","130","79","297","y",123
0.088,"-210.526315789474","124","79","298","n",114
0.09,"-291.139240506329","104","74","380","n",94
0.059,"-265.306122448979","96","68","307","n",89
0.108,"277.10843373494","140","76","398","y",125
0.099,"-247.191011235955","138","69","413","n",129
0.156,"156.521739130435","132","79","407","y",123
0.122,"-100","132","73","286","n",128
0.137,"-1071.42857142857","118","75","389","y",104
0.072,"-230.769230769231","96","64","727","n",88
0.119,"-37.9746835443038","110","78","472","n",109
0.088,"164.556962025316","129","73","471","n",121
0.102,"289.473684210526","138","77","415","n",125
0.231,"-87.1794871794871","111","77","623","n",100
0.225,"-99.9999999999999","109","74","315","y",105
0.161,"61.4035087719299","119","73","314","n",116
